row_index,Груз,Год,Вид сообщения,Направление,"Погрузка, млн. т","Погрузка базовая, млн. т","Грузооборот, млрд. ткм","Грузооборот базовый, млрд. ткм",Средняя дальность,Грузооборот 2019,Индекс грузооборота,Индекс перевезено
209,Прочие,2022,экспорт,в целом,41.5,41.5,84.2,84.2,2909.0,66.7,1.261631845,0.9327432002030522
210,Уголь каменный,2023,экспорт,в целом,163.0,163.0,740.7,740.7,4512.0,939.8,0.788123278,0.9682748916972653
211,Кокс каменноугольный,2023,экспорт,в целом,2.5,2.5,3.9,3.9,1569.0,7.3,0.53826452,1.3960776138255138
212,Нефть и нефтепродукты,2023,экспорт,в целом,81.4,81.4,132.6,132.6,1625.0,168.9,0.784928274,1.1055369207672316
213,Руды металлические,2023,экспорт,в целом,21.0,21.0,24.8,24.8,1142.0,21.5,1.152913115,0.8472187808128625
214,Черные металлы,2023,экспорт,в целом,25.8,25.8,94.7,94.7,3272.0,71.2,1.33152625,0.3814151134256637
215,Лесные грузы,2023,экспорт,в целом,11.9,11.9,46.2,46.2,2533.0,57.4,0.804022905,0.47803175860156305
216,Минерально-строительные материалы,2023,экспорт,в целом,4.9,4.9,8.1,8.1,1552.0,6.4,1.272092435,0.843278298638156
217,Химические и минеральные удобрения,2023,экспорт,в целом,31.0,31.0,54.2,54.2,1677.0,51.8,1.046645114,0.8294079610321812
218,Зерно и продукты перемола,2023,экспорт,в целом,14.2,14.2,19.8,19.8,1355.0,17.5,1.130493138,1.2277620018445707
219,Прочие,2023,экспорт,в целом,41.2,41.2,78.3,78.3,2799.0,66.7,1.173782585,1.051881986932759
220,Уголь каменный,2024,экспорт,в целом,180.1,180.1,821.6,821.6,4541.0,939.8,0.87421661,0.9864151122519585
221,Кокс каменноугольный,2024,экспорт,в целом,3.1,3.1,5.2,5.2,1691.0,7.3,0.721552436,1.297875181200885
222,Нефть и нефтепродукты,2024,экспорт,в целом,85.5,85.5,141.5,141.5,1652.0,168.9,0.837797921,1.0812920438433207
223,Руды металлические,2024,экспорт,в целом,22.0,22.0,26.7,26.7,1173.0,21.5,1.238345358,0.8495650178369287
224,Черные металлы,2024,экспорт,в целом,26.8,26.8,100.2,100.2,3341.0,71.2,1.407718353,0.3772333917878044
225,Лесные грузы,2024,экспорт,в целом,11.8,11.8,45.9,45.9,2523.0,57.4,0.799335687,0.47540774326187385
226,Минерально-строительные материалы,2024,экспорт,в целом,5.5,5.5,9.0,9.0,1535.0,6.4,1.410903291,0.8576384735282645
